,eyeClosed,Center Up,,Center,,Center Down,,Left Point,,Right Point,,Left,Right,Up,Down,Eye width:
capture_2020_04_17_11_39_49_7293_left,0,53,30,53,55,53,75,7,58,97,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7293_right,0,50,30,50,50,50,75,7,55,97,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7294_left,0,55,30,53,52,53,74,7,56,97,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7294_right,0,49,30,51,50,49,72,8,53,95,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7295_left,0,54,28,54,50,56,73,8,57,95,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7295_right,0,55,28,50,51,55,74,7,56,97,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7296_left,0,55,28,53,52,55,74,8,56,95,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7296_right,0,51,28,51,52,52,75,7,56,97,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7297_left,0,53,25,53,52,53,75,8,56,95,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7297_right,0,53,24,52,50,52,77,6,56,97,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7298_left,0,53,24,52,50,52,77,6,56,97,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7298_right,0,53,25,52,51,52,77,8,56,95,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7299_left,0,54,23,54,53,52,77,8,56,95,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7299_right,0,53,23,53,55,52,77,6,56,95,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7300_left,0,53,25,53,55,52,77,6,55,97,57,0,0,0,0,100
capture_2020_04_17_11_39_49_7300_right,0,53,23,52,53,52,77,6,56,95,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7301_left,0,52,24,53,47,52,74,8,53,98,52,0,0,0,0,100
capture_2020_04_17_11_39_49_7301_right,0,52,24,50,50,52,74,8,55,95,56,0,0,0,0,100
capture_2020_04_17_11_39_49_7302_left,0,53,25,53,50,54,74,7,54,97,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7302_right,0,49,26,51,49,52,72,6,51,96,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7303_left,0,52,26,54,49,54,72,6,55,94,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7303_right,0,52,26,51,48,54,72,6,54,94,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7304_left,0,51,25,54,46,54,72,4,54,96,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7304_right,0,51,26,51,47,54,71,6,53,94,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7305_left,0,52,26,52,47,54,72,8,51,97,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7305_right,0,52,25,52,46,54,72,10,52,94,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7306_left,0,56,26,56,47,58,69,8,54,97,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7306_right,0,50,25,50,46,53,69,8,54,97,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7307_left,0,56,24,56,49,54,71,7,56,97,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7307_right,0,53,24,50,47,54,71,7,56,97,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7308_left,0,53,25,56,49,54,71,7,56,97,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7308_right,0,53,25,47,49,54,71,7,56,97,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7309_left,0,53,24,54,49,55,72,8,55,97,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7309_right,0,53,24,49,49,55,72,8,55,97,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7310_left,0,53,24,54,50,55,72,8,55,97,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7310_right,0,53,24,50,47,55,72,8,55,97,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7311_left,0,53,25,54,49,54,71,8,56,96,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7311_right,0,53,24,51,47,51,70,8,55,97,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7312_left,0,53,24,53,48,53,71,7,56,97,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7312_right,0,50,23,51,45,51,69,4,53,97,50,0,0,0,0,100
capture_2020_04_17_11_39_49_7313_left,0,51,24,53,48,52,69,5,53,97,52,0,0,0,0,100
capture_2020_04_17_11_39_49_7313_right,0,51,21,51,43,51,68,4,48,96,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7314_left,0,51,22,49,47,51,68,4,51,96,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7314_right,0,51,18,51,45,49,67,4,50,96,47,0,0,0,0,100
capture_2020_04_17_11_39_49_7315_left,0,51,23,50,46,51,69,5,54,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7315_right,0,49,22,47,45,47,68,3,51,96,49,0,0,0,0,100
capture_2020_04_17_11_39_49_7316_left,0,52,25,49,48,49,69,5,54,96,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7316_right,0,46,24,45,43,45,67,3,52,93,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7317_left,0,52,25,51,47,49,68,5,52,95,52,0,0,0,0,100
capture_2020_04_17_11_39_49_7317_right,0,47,26,46,44,46,67,2,52,93,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7318_left,0,52,28,51,48,52,70,6,55,96,52,0,0,0,0,100
capture_2020_04_17_11_39_49_7318_right,0,46,27,46,47,48,70,5,52,94,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7319_left,0,51,27,51,48,51,70,6,52,96,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7319_right,0,48,27,48,46,48,69,4,54,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7320_left,0,54,27,52,49,54,72,7,55,95,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7320_right,0,49,26,46,45,49,68,2,52,94,52,0,0,0,0,100
capture_2020_04_17_11_39_49_7321_left,0,53,23,52,49,52,72,8,54,96,55,0,0,0,0,100
capture_2020_04_17_11_39_49_7321_right,0,50,23,50,48,51,73,7,54,96,55,0,0,0,0,100
capture_2020_04_17_11_39_49_7322_left,0,52,24,52,49,52,73,7,54,96,55,0,0,0,0,100
capture_2020_04_17_11_39_49_7322_right,0,50,25,49,47,51,71,5,54,96,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7323_left,0,51,24,51,47,52,71,6,54,98,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7323_right,0,51,24,51,46,51,69,6,53,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7324_left,0,53,24,53,48,53,72,5,54,98,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7324_right,0,53,24,51,46,53,72,5,54,98,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7325_left,0,53,24,52,47,53,72,5,54,98,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7325_right,0,53,24,53,45,53,72,6,52,95,47,0,0,0,0,100
capture_2020_04_17_11_39_49_7326_left,0,49,17,53,42,53,69,6,48,96,45,0,0,0,0,100
capture_2020_04_17_11_39_49_7326_right,0,49,17,53,41,53,69,6,48,96,45,0,0,0,0,100
capture_2020_04_17_11_39_49_7327_left,0,49,17,49,41,53,69,6,48,96,45,0,0,0,0,100
capture_2020_04_17_11_39_49_7327_right,0,50,17,55,40,54,69,6,48,96,45,0,0,0,0,100
capture_2020_04_17_11_39_49_7328_left,0,50,17,50,41,52,69,6,48,96,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7328_right,0,53,18,53,41,54,69,6,48,98,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7329_left,0,52,18,51,43,55,69,6,48,96,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7329_right,0,53,18,53,42,54,69,6,48,98,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7330_left,0,49,17,49,42,51,69,6,48,96,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7330_right,0,49,17,53,42,51,69,6,48,98,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7331_left,0,49,17,51,44,51,68,6,48,98,49,0,0,0,0,100
capture_2020_04_17_11_39_49_7331_right,0,49,17,54,46,51,69,4,52,96,48,0,0,0,0,100
capture_2020_04_17_11_39_49_7332_left,0,49,17,51,45,51,68,5,51,98,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7332_right,0,53,22,54,48,55,76,6,54,98,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7333_left,0,49,22,51,47,54,75,2,53,98,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7333_right,0,53,20,53,47,54,75,4,57,98,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7334_left,0,53,20,51,47,54,75,2,53,98,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7334_right,0,53,20,52,47,54,75,2,54,98,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7335_left,0,48,20,49,46,48,76,2,54,98,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7335_right,0,48,20,52,47,48,76,2,54,98,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7336_left,0,49,22,48,47,49,75,2,53,99,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7336_right,0,52,22,51,46,53,70,2,54,98,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7337_left,0,47,22,48,47,48,69,2,54,98,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7337_right,0,47,22,51,47,48,69,5,53,95,53,0,0,0,0,100
capture_2020_04_17_11_39_49_7338_left,0,47,22,51,46,49,76,4,55,98,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7338_right,0,51,23,52,47,52,71,1,55,98,54,0,0,0,0,100
capture_2020_04_17_11_39_49_7339_left,1,49,47,49,53,49,60,4,54,98,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7339_right,1,48,43,49,53,49,61,4,54,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7340_left,1,48,43,49,53,49,61,4,54,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7340_right,1,48,43,49,53,49,61,2,52,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7341_left,1,49,43,49,53,49,61,1,52,98,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7341_right,1,48,43,49,53,49,61,2,52,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7342_left,1,48,43,49,53,49,61,2,52,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7342_right,1,48,43,49,53,49,61,2,52,96,51,0,0,0,0,100
capture_2020_04_17_11_39_49_7343_left,0,48,28,35,52,48,78,1,57,98,57,1,0,1,0,100
capture_2020_04_17_11_39_49_7343_right,0,47,25,34,48,47,73,4,51,96,54,1,0,1,0,100
capture_2020_04_17_11_39_49_7344_left,0,47,25,34,48,47,73,4,51,96,54,1,0,1,0,100
capture_2020_04_17_11_39_49_7344_right,0,47,26,34,49,47,73,5,50,96,54,1,0,1,0,100
capture_2020_04_17_11_39_49_7345_left,0,47,25,34,48,47,73,4,51,96,54,1,0,1,0,100
capture_2020_04_17_11_39_49_7345_right,0,47,26,34,46,47,73,5,50,96,54,1,0,1,0,100
capture_2020_04_17_11_39_49_7346_left,0,47,25,33,51,47,73,4,51,96,54,1,0,1,0,100
capture_2020_04_17_11_39_49_7346_right,0,47,25,31,47,47,73,4,51,96,54,1,0,0,0,100
capture_2020_04_17_11_39_49_7347_left,0,47,25,33,51,47,73,4,51,96,54,1,0,0,0,100
capture_2020_04_17_11_39_49_7347_right,0,46,25,33,45,46,73,4,51,96,54,1,0,0,0,100
capture_2020_04_17_11_39_49_7348_left,0,47,25,34,52,47,73,4,51,96,54,1,0,0,0,100
capture_2020_04_17_11_39_49_7348_right,0,47,25,35,47,47,73,4,51,96,54,1,0,0,0,100
capture_2020_04_17_11_39_49_7349_left,0,47,25,34,49,47,73,4,51,96,54,1,0,0,0,100
capture_2020_04_17_11_39_49_7349_right,0,46,25,34,46,46,73,4,51,96,54,1,0,0,0,100
capture_2020_04_17_11_39_49_7350_left,0,47,25,34,51,47,73,4,51,96,54,1,0,0,0,100
capture_2020_04_17_11_39_49_7350_right,0,46,25,32,45,46,73,2,47,96,52,1,0,0,0,100
capture_2020_04_17_11_39_49_7351_left,0,46,25,33,49,46,73,2,47,96,52,1,0,0,0,100
capture_2020_04_17_11_39_49_7351_right,0,47,25,35,47,47,73,2,47,96,52,1,0,0,0,100
capture_2020_04_17_11_39_49_7352_left,0,47,25,35,48,47,73,2,47,96,52,1,0,0,0,100
capture_2020_04_17_11_39_49_7352_right,0,47,25,34,46,47,73,2,47,96,52,1,0,0,0,100
capture_2020_04_17_11_39_49_7353_left,0,47,25,35,49,47,73,2,47,96,52,1,0,0,0,100
capture_2020_04_17_11_39_49_7353_right,0,46,26,34,45,46,73,2,46,96,52,1,0,0,0,100
capture_2020_04_17_11_39_49_7354_left,0,47,25,33,49,47,73,2,47,96,52,1,0,0,0,100
capture_2020_04_17_11_39_49_7354_right,0,45,18,34,45,45,73,2,51,98,48,1,0,0,0,100
capture_2020_04_17_11_39_49_7355_left,0,45,23,31,52,46,82,1,52,96,54,1,0,0,0,100
capture_2020_04_17_11_39_49_7355_right,0,45,17,31,45,46,76,1,46,96,47,1,0,0,0,100
capture_2020_04_17_11_39_49_7356_left,0,45,17,30,49,45,76,5,51,96,53,1,0,0,0,100
capture_2020_04_17_11_39_49_7356_right,0,45,17,33,46,46,76,2,46,96,49,1,0,0,0,100
capture_2020_04_17_11_39_49_7357_left,0,48,22,31,52,46,75,2,54,98,54,1,0,0,0,100
capture_2020_04_17_11_39_49_7357_right,0,48,21,31,48,46,76,2,51,96,48,1,0,0,0,100
capture_2020_04_17_11_39_49_7358_left,0,48,21,31,48,46,76,2,51,95,51,1,0,0,0,100
